bus
AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing
700000000000,Mount Eagles,Belfast Metro Ops,54.55280045,-6.04518548,326532,368923
700000000001,Custom House Square,Belfast Metro Ops,54.60111602,-5.92301087,334277,374527
700000000002,Lagmore Reservoir,Belfast Metro Ops,54.55497653,-6.04307182,326662,369169
700000000003,Station Street,Belfast Metro Ops,54.60066353,-5.91863878,334561,374485
700000000004,Teeling Avenue,Belfast Metro Ops,54.55475852,-6.04181471,326744,369147
700000000005,Short Strand (Newtownards Road),Belfast Metro Ops,54.60017728,-5.90815562,335240,374451
700000000006,Glendowan Park,Belfast Metro Ops,54.55390028,-6.03986179,326873,369055
700000000007,Tower Street,Belfast Metro Ops,54.59978347,-5.90512714,335437,374413
700000000008,Glenfearna,Belfast Metro Ops,54.55415403,-6.03280085,327329,369096
700000000009,Templemore Ave (N'ards Road),Belfast Metro Ops,54.5993554,-5.90168264,335661,374372
700000000010,Lagmore Meadows,Belfast Metro Ops,54.55132412,-6.03171598,327408,368783
700000000011,Dee Street,Belfast Metro Ops,54.59889816,-5.89811591,335893,374328
700000000012,Lagmore Drive,Belfast Metro Ops,54.54965727,-6.03198173,327396,368597
700000000013,Ribble Street,Belfast Metro Ops,54.59831614,-5.89358077,336188,374272
700000000014,Lagmore Dale,Belfast Metro Ops,54.54840696,-6.02913627,327584,368463
700000000015,Connswater,Belfast Metro Ops,54.59777887,-5.89368589,336183,374212
700000000016,Lagmore Dale,Belfast Metro Ops,54.54828832,-6.02957475,327556,368449
700000000018,Lagmore Drive,Belfast Metro Ops,54.54874699,-6.03180918,327410,368496
700000000019,Holywood Arches (Holywood Road),Belfast Metro Ops,54.59811229,-5.88755607,336578,374261
700000000020,Lagmore Meadows,Belfast Metro Ops,54.55094662,-6.03225969,327374,368740
700000000021,Dundela Park,Belfast Metro Ops,54.60004811,-5.88470115,336756,374482
700000000022,Glenfearna,Belfast Metro Ops,54.55382153,-6.03224492,327366,369060
700000000023,Parkgate Avenue,Belfast Metro Ops,54.60189481,-5.88291845,336865,374691
700000000024,Glendowan Park,Belfast Metro Ops,54.55377234,-6.03972881,326882,369041
700000000026,Teeling Avenue,Belfast Metro Ops,54.55448768,-6.04173494,326750,369117
700000000027,Larkfield,Belfast Metro Ops,54.60484816,-5.88019588,337031,375025
700000000028,Lagmore Grove,Ulsterbus,54.55161069,-6.03000193,327518,368818
700000000029,Palmerston Road,Belfast Metro Ops,54.60571017,-5.87606491,337295,375129
700000000030,Summerhill Estate,Belfast Metro Ops,54.54701295,-6.0235469,327950,368318
700000000031,Palmerston Park,Belfast Metro Ops,54.60712285,-5.87464472,337382,375289
700000000032,Gardenmore Road,Belfast Metro Ops,54.55007436,-6.02339885,327950,368659
700000000033,Station Road,Belfast Metro Ops,54.60809014,-5.87549207,337324,375395
700000000034,Brook Centre,Belfast Metro Ops,54.55259234,-6.02188591,328040,368942
700000000035,Sydenham Station,Belfast Metro Ops,54.60933732,-5.87692858,337227,375531
700000000037,Inverary Drive,Belfast Metro Ops,54.61039422,-5.87469092,337368,375653
700000000038,Juniper Park,Belfast Metro Ops,54.55473938,-6.02626482,327750,369173
700000000039,Inverary Playing Fields,Belfast Metro Ops,54.6097278,-5.87255854,337508,375583
700000000040,Donegall Avenue,Belfast Metro Ops,54.58789846,-5.95037095,332552,373004
700000000041,Inverary Avenue,Belfast Metro Ops,54.60882795,-5.87043842,337648,375487
700000000042,Donegall Avenue,Belfast Metro Ops,54.58597211,-5.95175171,332469,372787
700000000043,Carolhill,Belfast Metro Ops,54.60838452,-5.86872793,337760,375441
700000000044,Donegall Parade,Belfast Metro Ops,54.5848374,-5.95425287,332311,372656
700000000045,Ashfield Boys,Belfast Metro Ops,54.61005524,-5.86665923,337888,375631
700000000046,Aughnacloy Hillcrest,Dungannon,54.42071217,-6.98259096,266095,352938
700000000047,Ashfield Girls,Belfast Metro Ops,54.61104971,-5.86547716,337961,375744
700000000048,Balmoral Hotel,Belfast Metro Ops,54.56043034,-5.99859428,329522,369857
700000000049,Blanchflower Park,Belfast Metro Ops,54.61300134,-5.8630374,338112,375966
700000000050,Garnock Hill,Belfast Metro Ops,54.56286436,-6.00125805,329342,370123
700000000051,Tillysburn Park,Belfast Metro Ops,54.61471583,-5.86192577,338178,376159
700000000052,Brooke Drive,Belfast Metro Ops,54.56409864,-6.00418176,329149,370255
700000000053,Knocknagoney Road,Belfast Metro Ops,54.61887735,-5.85743421,338454,376631
700000000054,Blacks Court,Belfast Metro Ops,54.56434932,-6.00576208,329046,370280
700000000055,Knocknagoney Primary,Belfast Metro Ops,54.61856257,-5.8548806,338620,376601
700000000056,Erris Grove,Belfast Metro Ops,54.56575493,-6.00982189,328779,370429
700000000057,School Court,Belfast Metro Ops,54.61819321,-5.85330532,338723,376563
700000000058,Ringford Park,Belfast Metro Ops,54.56611294,-6.01028378,328748,370468
700000000059,School Court,Belfast Metro Ops,54.61808753,-5.85241289,338781,376553
700000000060,Trenchard,Belfast Metro Ops,54.56511081,-6.00835345,328876,370360
700000000061,Knocknagoney Primary,Belfast Metro Ops,54.61873668,-5.85710098,338476,376616
700000000062,Brooke Park,Belfast Metro Ops,54.56293465,-6.00116185,329348,370131
700000000063,Parklands,Belfast Metro Ops,54.61896925,-5.85958151,338315,376637
700000000064,Balmoral Hotel,Belfast Metro Ops,54.56081919,-5.9987453,329511,369900
700000000065,Tillysburn Junction,Belfast Metro Ops,54.61839971,-5.86040103,338264,376572
700000000066,Oakhurst,Belfast Metro Ops,54.55934822,-5.99727136,329611,369739
700000000067,Tillysburn Park,Belfast Metro Ops,54.61387962,-5.86189222,338183,376066
700000000068,Sunnyhill Park,Ulsterbus,54.55328617,-6.00722947,328986,369046
700000000069,Templeton House,Belfast Metro Ops,54.61297984,-5.86283728,338125,375964
700000000070,Sunnyhill Park,Ulsterbus,54.55334749,-6.00713373,328992,369053
700000000071,Ashfield Girls,Belfast Metro Ops,54.61089547,-5.86539236,337967,375727
700000000072,Cloona,Belfast Metro Ops,54.56252082,-6.01750899,328292,370055
700000000073,Ashfield Boys,Belfast Metro Ops,54.60937357,-5.86723667,337853,375554
700000000074,Corrina Park,Belfast Metro Ops,54.56015658,-6.01524285,328446,369796
700000000075,Carolhill,Belfast Metro Ops,54.60845116,-5.86843035,337779,375449
700000000076,Corrina Park,Belfast Metro Ops,54.56051812,-6.015921,328401,369835
700000000077,Inverary Avenue,Belfast Metro Ops,54.6086329,-5.8700771,337672,375466
700000000078,Cloona,Belfast Metro Ops,54.56216765,-6.0173406,328304,370016
700000000079,Inverleith Drive,Belfast Metro Ops,54.60935486,-5.87178855,337559,375543
700000000080,Old Golf Course Park,Belfast Metro Ops,54.55706471,-6.01080173,328743,369460
700000000081,Inverary Playing Fields,Belfast Metro Ops,54.61007842,-5.87359285,337440,375620
700000000082,Cherry Road,Belfast Metro Ops,54.55381549,-6.01428332,328528,369092
700000000083,Sydenham Station,Belfast Metro Ops,54.60914389,-5.87717084,337212,375509
700000000084,Cherry Park,Belfast Metro Ops,54.55358924,-6.01692212,328358,369062
700000000085,Station Road,Belfast Metro Ops,54.6081625,-5.87551926,337322,375403
700000000086,Aspen Walk,Belfast Metro Ops,54.55494744,-6.01920585,328206,369209
700000000087,Palmerston Park,Belfast Metro Ops,54.60722595,-5.87437621,337399,375301
700000000088,St Lukes,Belfast Metro Ops,54.55496322,-6.02181751,328037,369206
700000000089,Larkfield Road,Belfast Metro Ops,54.60515627,-5.87727006,337219,375065
700000000090,St Lukes,Belfast Metro Ops,54.55504579,-6.02192172,328030,369215
700000000091,Larkfield,Belfast Metro Ops,54.60522631,-5.87972737,337060,375068
700000000092,Aspen Walk,Belfast Metro Ops,54.55494364,-6.01897416,328221,369209
700000000093,Strandburn Drive,Belfast Metro Ops,54.60379399,-5.88105548,336979,374906
700000000094,Cherry Park,Belfast Metro Ops,54.55373466,-6.01702326,328351,369078
700000000095,Parkgate Avenue,Belfast Metro Ops,54.60271532,-5.8820556,336918,374784
700000000096,Cherry Road,Belfast Metro Ops,54.55441634,-6.01366672,328566,369160
700000000097,Glendale Court,Belfast Metro Ops,54.60011668,-5.88451188,336768,374490
700000000098,Old Golf Course Park,Belfast Metro Ops,54.55663565,-6.01038977,328771,369413
700000000099,Connsbrook Avenue,Belfast Metro Ops,54.59902063,-5.88503298,336738,374367
700000000100,Credenhill,Belfast Metro Ops,54.55799041,-6.01245719,328633,369560
